2020-11-25 22:27:18.279 ZYCX [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2020-11-25 22:27:18.282 ZYCX [main] INFO  c.z.zycxshiro.ZycxShiroApplication - Starting ZycxShiroApplication using Java 1.8.0_241 on lei with PID 9760 (E:\IDEAProject\zycx-shiro\target\classes started by lei in E:\IDEAProject\zycx-shiro)
2020-11-25 22:27:18.282 ZYCX [main] INFO  c.z.zycxshiro.ZycxShiroApplication - No active profile set, falling back to default profiles: default
2020-11-25 22:27:19.063 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-25 22:27:19.065 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-25 22:27:19.087 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2020-11-25 22:27:19.325 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:27:19.327 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$bb343921] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:27:19.335 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:27:19.337 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:27:19.338 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.zycx.zycxshiro.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$32c71477] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:27:19.583 ZYCX [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-11-25 22:27:19.595 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.zycx.zycxshiro.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$32c71477] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:33.918 ZYCX [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2020-11-25 22:32:33.925 ZYCX [main] INFO  c.z.zycxshiro.ZycxShiroApplication - Starting ZycxShiroApplication using Java 1.8.0_241 on lei with PID 484 (E:\IDEAProject\zycx-shiro\target\classes started by lei in E:\IDEAProject\zycx-shiro)
2020-11-25 22:32:33.925 ZYCX [main] INFO  c.z.zycxshiro.ZycxShiroApplication - No active profile set, falling back to default profiles: default
2020-11-25 22:32:34.702 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-25 22:32:34.703 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-25 22:32:34.725 ZYCX [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2020-11-25 22:32:34.951 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:34.952 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$f4d0cf8a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:34.961 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:34.962 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:34.981 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.zycx.zycxshiro.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$6c63aae0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-11-25 22:32:35.192 ZYCX [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-11-25 22:32:35.203 ZYCX [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.zycx.zycxshiro.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$6c63aae0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
